quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
1,BAC,1/28/2011,$14.25 ,$14.26 ,$13.40 ,$13.60 ,1054415375,--,Average,982445809,$13.71 ,$14.29 ,4.23049,Competitive,0.0735294
1,BAC,2/4/2011,$13.71 ,$14.47 ,$13.64 ,$14.29 ,757192224,++,Far lower than expectation,1054415375,$14.51 ,$14.77 ,1.79187,Lower competitive,0.069979
1,BAC,2/11/2011,$14.51 ,$14.87 ,$14.35 ,$14.77 ,746465458,+,Average,757192224,$14.77 ,$14.75 ,-0.13541,Lower competitive,0.0677048
1,BAC,2/18/2011,$14.77 ,$14.95 ,$14.69 ,$14.75 ,458423511,-,Far lower than expectation,746465458,$14.38 ,$14.20 ,-1.25174,Lower competitive,0.0677966
1,BAC,2/25/2011,$14.38 ,$14.52 ,$13.79 ,$14.20 ,712456757,--,Far higher than expectation,458423511,$14.27 ,$14.12 ,-1.05116,Lower competitive,0.0704225
1,BAC,3/4/2011,$14.27 ,$14.48 ,$13.81 ,$14.12 ,699671790,--,Average,712456757,$14.18 ,$14.38 ,1.41044,Higher competitive,0.0708215
1,BAC,3/11/2011,$14.18 ,$14.70 ,$13.92 ,$14.38 ,805210688,+,Higher than expectation,699671790,$14.26 ,$14.04 ,-1.54278,Higher competitive,0.069541
1,BAC,3/18/2011,$14.26 ,$14.35 ,$13.66 ,$14.04 ,792380862,--,Average,805210688,$14.20 ,$13.34 ,-6.05634,Higher competitive,0.0712251
1,BAC,3/25/2011,$14.20 ,$14.22 ,$13.32 ,$13.34 ,717678994,--,Lower than expectation,792380862,$13.42 ,$13.37 ,-0.372578,Higher competitive,0.0749625
1,CAT,1/7/2011,$94.38 ,$94.81 ,$92.30 ,$93.73 ,24135903,-,Far higher than expectation,,$93.21 ,$94.01 ,0.858277,Lower competitive,0.469433
1,CAT,1/14/2011,$93.21 ,$94.70 ,$92.51 ,$94.01 ,19707235,+,Lower than expectation,24135903,$94.16 ,$92.75 ,-1.49745,Lower competitive,0.468035
1,CAT,1/21/2011,$94.16 ,$96.80 ,$92.37 ,$92.75 ,28651009,--,Far higher than expectation,19707235,$92.71 ,$95.68 ,3.20354,Higher competitive,0.474394
1,CAT,1/28/2011,$92.71 ,$97.79 ,$92.51 ,$95.68 ,34929068,++,Higher than expectation,28651009,$96.13 ,$99.59 ,3.59929,Higher competitive,0.459866
1,CAT,2/4/2011,$96.13 ,$99.72 ,$95.85 ,$99.59 ,31169285,++,Lower than expectation,34929068,$99.62 ,$103.54 ,3.93495,Higher competitive,0.441811
1,CAT,2/11/2011,$99.62 ,$103.55 ,$98.75 ,$103.54 ,27632394,++,Lower than expectation,31169285,$103.56 ,$105.86 ,2.22093,Higher competitive,0.424957
1,CAT,2/18/2011,$103.56 ,$105.86 ,$102.01 ,$105.86 ,16331886,++,Far lower than expectation,27632394,$104.86 ,$102.00 ,-2.72745,Competitive,0.415643
1,CAT,2/25/2011,$104.86 ,$105.30 ,$98.03 ,$102.00 ,28146727,--,Far higher than expectation,16331886,$102.72 ,$103.04 ,0.311526,Competitive,0.431373
1,CAT,3/4/2011,$102.72 ,$104.43 ,$99.35 ,$103.04 ,29851515,+,Average,28146727,$103.42 ,$100.02 ,-3.28757,Competitive,0.427019
1,CAT,3/11/2011,$103.42 ,$104.45 ,$97.01 ,$100.02 ,38614049,--,Far higher than expectation,29851515,$102.59 ,$105.06 ,2.40764,Competitive,0.439912
1,CAT,3/18/2011,$102.59 ,$105.64 ,$98.55 ,$105.06 ,54195667,++,Far higher than expectation,38614049,$106.90 ,$109.09 ,2.04864,Competitive,0.418808
1,CAT,3/25/2011,$106.90 ,$110.15 ,$105.64 ,$109.09 ,37837456,++,Far lower than expectation,54195667,$109.54 ,$113.12 ,3.26821,Lower competitive,0.403337
1,CSCO,1/7/2011,$20.45 ,$21.00 ,$20.38 ,$20.97 ,303545878,++,Far higher than expectation,,$20.94 ,$21.21 ,1.2894,Higher competitive,0.286123
1,CSCO,1/14/2011,$20.94 ,$21.23 ,$20.70 ,$21.21 ,154708263,+,Far lower than expectation,303545878,$21.22 ,$20.72 ,-2.35627,Higher competitive,0.282885
1,CSCO,1/21/2011,$21.22 ,$21.33 ,$20.50 ,$20.72 ,193706863,--,Higher than expectation,154708263,$20.84 ,$20.93 ,0.431862,Higher competitive,0.289575
1,CSCO,1/28/2011,$20.84 ,$21.61 ,$20.73 ,$20.93 ,265687272,+,Far higher than expectation,193706863,$20.93 ,$22.05 ,5.35117,Competitive,0.28667
1,CSCO,2/4/2011,$20.93 ,$22.15 ,$20.71 ,$22.05 ,236334561,++,Lower than expectation,265687272,$22.11 ,$18.70 ,-15.4229,Competitive,0.272109
1,CSCO,2/11/2011,$22.11 ,$22.34 ,$18.61 ,$18.70 ,1000362015,--,Far higher than expectation,236334561,$18.84 ,$18.85 ,0.0530786,Competitive,0.320856
1,CSCO,2/18/2011,$18.84 ,$18.95 ,$18.56 ,$18.85 ,390258123,+,Far lower than expectation,1000362015,$18.73 ,$18.64 ,-0.480513,Competitive,0.318302
1,CSCO,2/25/2011,$18.73 ,$18.74 ,$18.23 ,$18.64 ,285212201,-,Far lower than expectation,390258123,$18.62 ,$18.40 ,-1.18153,Competitive,0.321888
1,CSCO,3/4/2011,$18.62 ,$18.79 ,$18.31 ,$18.40 ,302059981,--,Average,285212201,$18.36 ,$17.95 ,-2.23312,Lower competitive,0.326087
1,CSCO,3/11/2011,$18.36 ,$18.37 ,$17.76 ,$17.95 ,311209442,--,Average,302059981,$17.81 ,$17.14 ,-3.76193,Lower competitive,0.334262
1,CSCO,3/18/2011,$17.81 ,$17.88 ,$16.97 ,$17.14 ,444161658,--,Far higher than expectation,311209442,$17.34 ,$17.28 ,-0.346021,Lower competitive,0.350058
1,CSCO,3/25/2011,$17.34 ,$17.64 ,$17.20 ,$17.28 ,284574143,-,Far lower than expectation,444161658,$17.36 ,$17.04 ,-1.84332,Lower competitive,0.347222
1,CVX,1/7/2011,$91.66 ,$92.48 ,$90.27 ,$91.19 ,35556288,-,Far higher than expectation,,$90.95 ,$92.83 ,2.06707,Competitive,0.78956
1,CVX,1/14/2011,$90.95 ,$92.85 ,$90.12 ,$92.83 ,28260512,++,Lower than expectation,35556288,$92.94 ,$93.78 ,0.903809,Lower competitive,0.775611
1,CVX,1/21/2011,$92.94 ,$93.94 ,$91.58 ,$93.78 ,27752622,+,Average,28260512,$93.89 ,$93.37 ,-0.55384,Lower competitive,0.767754
1,CVX,1/28/2011,$93.89 ,$94.97 ,$92.93 ,$93.37 ,42303108,-,Far higher than expectation,27752622,$93.85 ,$97.11 ,3.47363,Lower competitive,0.771126
1,CVX,2/4/2011,$93.85 ,$97.44 ,$93.37 ,$97.11 ,48766293,++,Higher than expectation,42303108,$97.28 ,$96.45 ,-0.853207,Lower competitive,0.741427
1,CVX,2/11/2011,$97.28 ,$98.23 ,$95.70 ,$96.45 ,38838595,-,Lower than expectation,48766293,$95.50 ,$98.72 ,3.37173,Lower competitive,0.746501
1,CVX,2/18/2011,$95.50 ,$98.72 ,$95.50 ,$98.72 ,28037827,++,Far lower than expectation,38838595,$99.23 ,$102.10 ,2.89227,Higher competitive,0.739465
1,CVX,2/25/2011,$99.23 ,$103.94 ,$99.23 ,$102.10 ,57897831,++,Far higher than expectation,28037827,$102.28 ,$103.75 ,1.43723,Higher competitive,0.714985
1,CVX,3/4/2011,$102.28 ,$104.99 ,$102.18 ,$103.75 ,48214502,+,Lower than expectation,57897831,$104.12 ,$99.93 ,-4.0242,Higher competitive,0.703614
1,CVX,3/11/2011,$104.12 ,$104.77 ,$97.60 ,$99.93 ,43673568,--,Lower than expectation,48214502,$99.16 ,$102.80 ,3.67084,Higher competitive,0.730511
1,CVX,3/18/2011,$99.16 ,$103.97 ,$97.98 ,$102.80 ,56186791,++,Far higher than expectation,43673568,$103.86 ,$106.78 ,2.81148,Competitive,0.710117
1,CVX,3/25/2011,$103.86 ,$107.01 ,$103.20 ,$106.78 ,39606692,++,Far lower than expectation,56186791,$106.40 ,$108.32 ,1.80451,Competitive,0.683649
1,DD,1/7/2011,$50.05 ,$50.54 ,$49.28 ,$49.76 ,27658789,-,Far higher than expectation,,$48.30 ,$49.80 ,3.10559,Competitive,0.823955
1,DD,1/14/2011,$48.30 ,$49.80 ,$47.20 ,$49.80 ,34546875,++,Higher than expectation,27658789,$49.53 ,$48.35 ,-2.38239,Lower competitive,0.823293
1,DD,1/21/2011,$49.53 ,$50.14 ,$47.65 ,$48.35 ,25611091,--,Far lower than expectation,34546875,$48.44 ,$50.29 ,3.81916,Lower competitive,0.847983
1,DD,1/28/2011,$48.44 ,$50.66 ,$48.26 ,$50.29 ,45429653,++,Far higher than expectation,25611091,$50.15 ,$52.53 ,4.74576,Lower competitive,0.815271
1,DD,2/4/2011,$50.15 ,$52.63 ,$50.09 ,$52.53 ,31069977,++,Far lower than expectation,45429653,$52.62 ,$54.58 ,3.72482,Lower competitive,0.780506
1,DD,2/11/2011,$52.62 ,$54.75 ,$52.51 ,$54.58 ,37155830,++,Higher than expectation,31069977,$54.44 ,$55.98 ,2.8288,Lower competitive,0.751191
1,DD,2/18/2011,$54.44 ,$55.98 ,$53.80 ,$55.98 ,27705910,++,Far lower than expectation,37155830,$54.95 ,$54.07 ,-1.60146,Higher competitive,0.732404
1,DD,2/25/2011,$54.95 ,$55.30 ,$52.36 ,$54.07 ,33190716,--,Higher than expectation,27705910,$54.22 ,$53.87 ,-0.645518,Higher competitive,0.758276
1,DD,3/4/2011,$54.22 ,$54.95 ,$52.76 ,$53.87 ,32958368,-,Average,33190716,$54.10 ,$52.90 ,-2.21811,Higher competitive,0.761092
1,DD,3/11/2011,$54.10 ,$54.49 ,$51.82 ,$52.90 ,27091813,--,Lower than expectation,32958368,$53.18 ,$52.99 ,-0.357277,Competitive,0.775047
1,DD,3/18/2011,$53.18 ,$53.50 ,$51.10 ,$52.99 ,39779608,-,Far higher than expectation,27091813,$53.80 ,$54.10 ,0.557621,Competitive,0.773731
1,DD,3/25/2011,$53.80 ,$54.64 ,$52.89 ,$54.10 ,24464568,+,Far lower than expectation,39779608,$54.11 ,$55.19 ,1.99593,Competitive,0.757856
1,DIS,1/7/2011,$37.74 ,$40.00 ,$37.62 ,$39.45 ,72917621,++,Far higher than expectation,,$39.01 ,$39.29 ,0.717765,Higher competitive,1.01394
1,DIS,1/14/2011,$39.01 ,$39.81 ,$38.92 ,$39.29 ,31943413,+,Far lower than expectation,72917621,$39.07 ,$39.74 ,1.71487,Higher competitive,1.01807
1,DIS,1/21/2011,$39.07 ,$39.94 ,$38.51 ,$39.74 ,36187032,+,Higher than expectation,31943413,$39.64 ,$38.85 ,-1.99294,Higher competitive,1.00654
1,DIS,1/28/2011,$39.64 ,$39.95 ,$38.65 ,$38.85 ,42131642,--,Higher than expectation,36187032,$39.04 ,$40.71 ,4.27766,Higher competitive,1.0296
1,DIS,2/4/2011,$39.04 ,$40.77 ,$38.64 ,$40.71 ,53521486,++,Higher than expectation,42131642,$40.80 ,$43.41 ,6.39706,Higher competitive,0.98256
1,DIS,2/11/2011,$40.80 ,$44.05 ,$40.71 ,$43.41 ,83975520,++,Far higher than expectation,53521486,$43.19 ,$43.56 ,0.85668,Higher competitive,0.921447
1,DIS,2/18/2011,$43.19 ,$43.90 ,$42.98 ,$43.56 ,33868302,+,Far lower than expectation,83975520,$42.83 ,$42.95 ,0.280177,Higher competitive,0.918274
1,DIS,2/25/2011,$42.83 ,$43.28 ,$41.60 ,$42.95 ,56966763,+,Far higher than expectation,33868302,$43.02 ,$43.55 ,1.23199,Higher competitive,0.931315
1,DIS,3/4/2011,$43.02 ,$44.34 ,$42.97 ,$43.55 ,53096584,+,Average,56966763,$43.53 ,$42.93 ,-1.37836,Higher competitive,0.918484
1,DIS,3/11/2011,$43.53 ,$43.61 ,$42.16 ,$42.93 ,41229388,--,Lower than expectation,53096584,$42.64 ,$41.23 ,-3.30675,Higher competitive,0.931749
1,DIS,3/18/2011,$42.64 ,$42.67 ,$40.42 ,$41.23 ,65060004,--,Far higher than expectation,41229388,$41.46 ,$42.97 ,3.64206,Higher competitive,0.970167
1,DIS,3/25/2011,$41.46 ,$43.24 ,$40.87 ,$42.97 ,40696371,++,Far lower than expectation,65060004,$43.19 ,$42.85 ,-0.787219,Higher competitive,0.930882
1,GE,1/7/2011,$18.49 ,$18.72 ,$18.12 ,$18.43 ,280146510,-,Far higher than expectation,,$18.61 ,$18.82 ,1.12843,Competitive,0.759631
1,GE,1/14/2011,$18.61 ,$18.82 ,$18.46 ,$18.82 ,215626229,+,Lower than expectation,280146510,$18.98 ,$19.74 ,4.00421,Lower competitive,0.74389
1,GE,1/21/2011,$18.98 ,$19.97 ,$18.17 ,$19.74 ,449508777,++,Far higher than expectation,215626229,$19.93 ,$20.20 ,1.35474,Lower competitive,0.70922
1,GE,1/28/2011,$19.93 ,$20.74 ,$19.74 ,$20.20 ,437317986,+,Average,449508777,$20.13 ,$20.56 ,2.13612,Lower competitive,0.693069
1,GE,2/4/2011,$20.13 ,$20.96 ,$20.10 ,$20.56 ,246591055,++,Far lower than expectation,437317986,$20.77 ,$21.33 ,2.6962,Lower competitive,0.680934
1,GE,2/11/2011,$20.77 ,$21.44 ,$20.73 ,$21.33 ,252254376,++,Average,246591055,$21.51 ,$21.44 ,-0.32543,Lower competitive,0.656353
1,GE,2/18/2011,$21.51 ,$21.65 ,$21.24 ,$21.44 ,158691572,-,Far lower than expectation,252254376,$20.88 ,$20.82 ,-0.287356,Higher competitive,0.652985
1,GE,2/25/2011,$20.88 ,$21.21 ,$20.08 ,$20.82 ,268500170,-,Far higher than expectation,158691572,$20.95 ,$20.37 ,-2.7685,Higher competitive,0.67243
1,GE,3/4/2011,$20.95 ,$21.17 ,$20.16 ,$20.37 ,261175412,--,Average,268500170,$20.40 ,$20.36 ,-0.196078,Higher competitive,0.687285
1,GE,3/11/2011,$20.40 ,$20.79 ,$19.94 ,$20.36 ,303566341,-,Higher than expectation,261175412,$19.96 ,$19.25 ,-3.55711,Higher competitive,0.687623
1,GE,3/18/2011,$19.96 ,$20.09 ,$18.60 ,$19.25 ,520516218,--,Far higher than expectation,303566341,$19.68 ,$19.75 ,0.355691,Higher competitive,0.727273
1,GE,3/25/2011,$19.68 ,$19.93 ,$19.25 ,$19.75 ,227819072,+,Far lower than expectation,520516218,$19.81 ,$20.34 ,2.67542,Higher competitive,0.708861
1,HD,1/7/2011,$35.20 ,$35.57 ,$34.18 ,$34.38 ,56576860,--,Far higher than expectation,,$34.16 ,$35.89 ,5.0644,Competitive,0.727167
1,HD,1/14/2011,$34.16 ,$35.89 ,$34.07 ,$35.89 ,41918450,++,Far lower than expectation,56576860,$35.97 ,$36.51 ,1.50125,Competitive,0.696573
1,HD,1/21/2011,$35.97 ,$36.99 ,$35.48 ,$36.51 ,45249920,+,Average,41918450,$36.46 ,$36.70 ,0.658256,Competitive,0.684744
1,HD,1/28/2011,$36.46 ,$38.12 ,$36.30 ,$36.70 ,63397367,+,Far higher than expectation,45249920,$37.13 ,$36.80 ,-0.888769,Competitive,0.681199
1,HD,2/4/2011,$37.13 ,$37.18 ,$36.38 ,$36.80 ,41844858,-,Far lower than expectation,63397367,$36.80 ,$37.48 ,1.84783,Competitive,0.679348
1,HD,2/11/2011,$36.80 ,$37.48 ,$36.41 ,$37.48 ,36079400,+,Lower than expectation,41844858,$37.47 ,$38.48 ,2.69549,Lower competitive,0.667022
1,HD,2/18/2011,$37.47 ,$38.48 ,$37.27 ,$38.48 ,30619613,++,Lower than expectation,36079400,$39.30 ,$37.08 ,-5.64885,Lower competitive,0.649688
1,HD,2/25/2011,$39.30 ,$39.38 ,$36.78 ,$37.08 ,54816070,--,Far higher than expectation,30619613,$37.15 ,$37.22 ,0.188425,Lower competitive,0.674218
1,HD,3/4/2011,$37.15 ,$37.86 ,$36.33 ,$37.22 ,49763519,+,Lower than expectation,54816070,$37.26 ,$37.14 ,-0.322061,Lower competitive,0.671682
1,HD,3/11/2011,$37.26 ,$37.78 ,$36.54 ,$37.14 ,49156185,-,Average,49763519,$36.92 ,$36.00 ,-2.49187,Higher competitive,0.673129
1,HD,3/18/2011,$36.92 ,$36.94 ,$35.43 ,$36.00 ,52758908,--,Average,49156185,$36.29 ,$37.42 ,3.11381,Higher competitive,0.694444
1,HD,3/25/2011,$36.29 ,$37.82 ,$36.03 ,$37.42 ,40337534,++,Lower than expectation,52758908,$37.46 ,$37.56 ,0.266951,Higher competitive,0.668092
1,HPQ,1/7/2011,$42.22 ,$45.39 ,$42.22 ,$45.09 ,100020724,++,Far higher than expectation,,$44.86 ,$46.25 ,3.09853,Higher competitive,0.177423
1,HPQ,1/14/2011,$44.86 ,$46.25 ,$44.57 ,$46.25 ,65464211,++,Far lower than expectation,100020724,$46.14 ,$47.23 ,2.36238,Competitive,0.172973
1,HPQ,1/21/2011,$46.14 ,$47.64 ,$45.76 ,$47.23 ,82623453,++,Higher than expectation,65464211,$46.69 ,$45.51 ,-2.52731,Competitive,0.169384
1,HPQ,1/28/2011,$46.69 ,$47.83 ,$45.36 ,$45.51 ,84066350,--,Average,82623453,$45.41 ,$47.43 ,4.44836,Competitive,0.175786
1,HPQ,2/4/2011,$45.41 ,$47.52 ,$45.13 ,$47.43 ,74475624,++,Lower than expectation,84066350,$47.71 ,$48.64 ,1.94928,Competitive,0.16867
1,HPQ,2/11/2011,$47.71 ,$49.39 ,$47.61 ,$48.64 ,84089936,+,Higher than expectation,74475624,$48.45 ,$48.67 ,0.454076,Lower competitive,0.164474
1,HPQ,2/18/2011,$48.45 ,$49.12 ,$47.54 ,$48.67 ,49401750,+,Far lower than expectation,84089936,$47.57 ,$42.68 ,-10.2796,Lower competitive,0.164372
1,HPQ,2/25/2011,$47.57 ,$48.55 ,$42.08 ,$42.68 ,211147488,--,Far higher than expectation,49401750,$43.06 ,$42.61 ,-1.04505,Lower competitive,0.187441
1,HPQ,3/4/2011,$43.06 ,$43.85 ,$42.06 ,$42.61 ,110702335,--,Far lower than expectation,211147488,$42.90 ,$41.73 ,-2.72727,Lower competitive,0.187749
1,HPQ,3/11/2011,$42.90 ,$43.05 ,$41.26 ,$41.73 ,85140794,--,Lower than expectation,110702335,$41.31 ,$41.32 ,0.0242072,Lower competitive,0.191709
1,HPQ,3/18/2011,$41.31 ,$42.15 ,$40.10 ,$41.32 ,121051768,+,Far higher than expectation,85140794,$41.85 ,$42.53 ,1.62485,Higher competitive,0.314618
1,HPQ,3/25/2011,$41.85 ,$43.28 ,$41.35 ,$42.53 ,78089358,+,Far lower than expectation,121051768,$42.42 ,$40.98 ,-3.39463,Higher competitive,0.305667
1,IBM,1/7/2011,$147.21 ,$148.86 ,$146.64 ,$147.93 ,23492843,+,Far higher than expectation,,$147.00 ,$150.00 ,2.04082,Competitive,0.439397
1,IBM,1/14/2011,$147.00 ,$150.00 ,$146.00 ,$150.00 ,15335348,++,Far lower than expectation,23492843,$149.82 ,$155.50 ,3.79122,Lower competitive,0.433333
1,IBM,1/21/2011,$149.82 ,$156.78 ,$149.38 ,$155.50 ,35770931,++,Far higher than expectation,15335348,$155.42 ,$159.21 ,2.43855,Lower competitive,0.418006
1,IBM,1/28/2011,$155.42 ,$164.35 ,$155.33 ,$159.21 ,32510483,++,Lower than expectation,35770931,$159.18 ,$164.00 ,3.02802,Lower competitive,0.408266
1,IBM,2/4/2011,$159.18 ,$164.20 ,$158.68 ,$164.00 ,25377163,++,Lower than expectation,32510483,$164.08 ,$163.85 ,-0.140176,Lower competitive,0.396341
1,IBM,2/11/2011,$164.08 ,$166.25 ,$163.18 ,$163.85 ,26106753,-,Average,25377163,$164.18 ,$164.84 ,0.401998,Higher competitive,0.457736
1,IBM,2/18/2011,$164.18 ,$164.84 ,$162.52 ,$164.84 ,14352613,+,Far lower than expectation,26106753,$163.57 ,$162.28 ,-0.788653,Higher competitive,0.454987
1,IBM,2/25/2011,$163.57 ,$164.26 ,$159.03 ,$162.28 ,21443811,-,Far higher than expectation,14352613,$162.36 ,$161.83 ,-0.326435,Higher competitive,0.462164
1,IBM,3/4/2011,$162.36 ,$164.31 ,$159.41 ,$161.83 ,21549118,-,Average,21443811,$161.60 ,$162.43 ,0.513614,Higher competitive,0.463449
1,IBM,3/11/2011,$161.60 ,$167.72 ,$158.85 ,$162.43 ,31119857,+,Far higher than expectation,21549118,$161.16 ,$155.89 ,-3.27004,Competitive,0.461737
